namespace,term_local_name,label,definition,usage,notes,examples,rdf_type,is_required,is_repeatable,term_created,term_modified,compound_name,namespace_iri,term_iri,term_ns_name,term_version_iri,datatype,purpose,editorial_note,alt_label,scope_note,class_name,class_label,term_uri
mids:,Modified,Modified,"UTC date/time of date/time of first creation or subsequent modification, if any","Use ISO 8601. UTC date/time, extended format (for human readability)",,2021-01-20 10:54:18,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,False,,,,,,mids:Modified,,,To enable users (humans/machines) to determine if there have been any changes to the record since it was last viewed.,original,,All,mids1,MIDS Level 1 - Basic,https://ltc.tdwg.org/information-elements/index.html#Modified
mids:,QualitativeLocation,Qualitative Location,A term to describe the where the specimen was collected. In combination with quantitativeLocation; should capture textual geographic information.,"The most precise locality should be captured, given information available with the specimen. It is recommended to include additional higher level geography, mapped to the appropriate terms, to reduce ambiguity of place names.",,"Flinders Ranges, Arkaroola Wilderness Sanctuary, on rough track north of Arkaroola Village by Radium Creek, 120 meters past the turn-off for the Ridgetop Track, off rough graded track in dry sandy gravely creek bed.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,True,,,,,,mids:QualitativeLocation,,,A human readable location. Can also be used to help identify the quantitativeLocation.,original,,All,mids2,MIDS Level 2 - Intermediary,https://ltc.tdwg.org/information-elements/index.html#QualitativeLocation
mids:,QuantitativeLocation,Quantitative Location,"A term to describe where the specimen was collected. A quantitative measure that would include coordinate or shape data, an identifier, or data that can be easily converted into a quantitative measure. In combination with the qualitative term, qualitativeLocality.","It is strongly recommended to follow the best practice in the Georeferencing Quick Reference Guide (Zermoglio PF, Chapman AD, Wieczorek JR, Luna MC & Bloom DA, 2020 https://doi.org/10.35035/e09p-h128). It is recommended to use an identifier for the most precise spatial region or named place, given information available with the specimen. If an identifier is not being used then the data should correspond to a recognised geographic standard (eg, OGC webservices, WFS, ISO 3166, Geonames, GADM)",,"-30.23713, 139.33683, WGS84; https://www.geonames.org/7839420/flinders-ranges.html; https://gadm.org/maps/AUS/southaustralia/flindersranges.html",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,True,,,,,,mids:QuantitativeLocation,,,To enable a person or machine to identify and/or map the geographical location in which the collection was made.,original,,All,mids2,MIDS Level 2 - Intermediary,https://ltc.tdwg.org/information-elements/index.html#QuantitativeLocation
mids:,CollectingAgent,Collecting Agent,"A list (concatenated and separated) of names of people, groups, or organizations responsible for recording the original Occurrence.","It is recommended to include a verbatim version of the name as it appears on the label. The primary collector or observer, especially one who applies a collecting identifier (recordNumber), should be listed first. It is also strongly recommended to also include people identifiers such as ORCID, Wikidata (See mids:CollectorID).",,"Carl Linnaeus (https://www.wikidata.org/wiki/Q1043),",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,True,,,,,,mids:CollectingAgent,,,For many biological collections the collector in combination with collectingNumber has been used as an identifier for the specimen in literature. It also helps in the identification and validation of the collecting location.,original,,Biology,mids2,MIDS Level 2 - Intermediary,https://ltc.tdwg.org/information-elements/index.html#CollectingAgent
mids:,DateCollected,Date Collected,"The date/time at which a gathering event occurred. For specimen gathering, this is the date/time when the event was recorded.",It is strongly recommended to use ISO 8601 standard with extended format for human readability.'s.d.' (sine diem - without date) or equivalent if not present or not known.,,2023-12-08; s.d.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,False,,,,,,mids:DateCollected,,,To provide accurate information about when the specimen was collected.,original,,Biology,,,https://ltc.tdwg.org/information-elements/index.html#DateCollected
mids:,CollectingNumber,Collecting Number,An identifier given to the specimen at the time it was recorded. Often serves as a link between field notes and a specimen record.,"It is recommended to use ""s.n."" (sine numero - without number) or equivalent if not present",,"BPL-1001, 154/23, 254, s.n",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,False,,,,,,mids:CollectingNumber,,,For many biological collections the collector in combination with collectingNumber has been used as an identifier for the specimen in literature. It also helps in the identification and validation of the collecting location.,original,,Biology,,,https://ltc.tdwg.org/information-elements/index.html#CollectingNumber
mids:,Media,Media,A list (concatenated and separated) of media associated with the specimen.,It is strong recommendation to follow Audiovisual Core standards; identifier for IIIF manifest and/or image,,https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14501286&type=jpeg,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,True,,,,,,mids:Media,,,To allow a user to locate mediafiles of the specimen,original,,Biology,,,https://ltc.tdwg.org/information-elements/index.html#Media
mids:,GeologicalAge,Geological Age,"Refers to the geological age of a Earth Science specimen (i.e. Fossil, Rock, Mineral or Meteorite) and can be any kind of stratigraphic age, isotopically determined age or structural age.","If relevant, it is recommended follow the International Commission on Stratigraphy chart, and that litho- and biostratigraphy, where available, should also be provided.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,True,,,,,,mids:GeologicalAge,,,"To provide information about the age of the geological, mineralogical, fossil or meteorite specimen",original,,Geology and Palaeontology,,,https://ltc.tdwg.org/information-elements/index.html#GeologicalAge
mids:,TypeStatus,Type Status,"An indication of the nomenclatural type status of the specimen, where a null value is taken to mean ""Assumed not to be a type"".",It is strongly recommended to follow the list of terms included in the relevant codes of nomenclature.,,"Holotype, Isotype, Syntype, Cotype, Epitype, Neotype, Lectotype",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,False,,,,,,mids:TypeStatus,,,"The nomenclatural type specimens are some of the most important specimens in a collection, particularly for taxonomic research. They anchor the taxon name to a physical object.",original,,Biology,mids2,MIDS Level 2 - Intermediary,https://ltc.tdwg.org/information-elements/index.html#TypeStatus
mids:,InstitutionID,Institution ID,An identifier for the institution having custody of the object(s),"It is strongly recommended to use a globally unique persistent and resolvable identifier such as GrSciColl, ROR.",,"https://ror.org/01xtthb56, https://www.gbif.org/grscicoll/collection/772f9e37-4643-452b-82b4-a06550283096, https://www.gbif.org/grscicoll/institution/e3d4dcc4-81e2-444c-8a5c-41d1044b5381",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,True,,,,,,mids:InstitutionID,,,To allow a user (human or machine) to locate the physical location of the specimen.,original,,All,mids3,MIDS Level 3 - Extended,https://ltc.tdwg.org/information-elements/index.html#InstitutionID
mids:,CollectorID,Collector ID,"A list (concatenated and separated) of the identifier(s) for the person, people, groups, or expeditions responsible for collecting the specimen.","It is strongly recommended to use resolvable ORCiD identifiers for people, or Wikidata identifiers for people or expeditions. It is also recommended to list the primary collectorID, especially one who applies a field/collecting number, first.",,https://orcid.org/0000-0003-1568-xxxx | https://www.wikidata.org/w/index.php?title=Q94522,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,True,,,,,,mids:CollectorID,,,To uniquely identify the collector of a specimen in a machine readable format.,original,,All,mids3,MIDS Level 3 - Extended,https://ltc.tdwg.org/information-elements/index.html#CollectorID
mids:,ScientificNameID,Scientific Name ID,An identifier for the nomenclatural (not taxonomic) details of a scientific name.,"It is strongly recommended to use identifiers from the recognised nomenclators for the appropriate taxonomic group (e.g. the International Plant Names Index (IPNI), MycoBank, AlgaeBase, Mindat, etc).",,urn:lsid:ipni.org:names:184409-1; mindat:1:1:1375:4 ; https://mindat.org/4ca61d6f-4208-8fb2-3b0eecbcs8f0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,True,,,,,,mids:ScientificNameID,,,To uniquly identify the taxon name of a specimen in a machine readable format.,original,,Biology and Geology,mids1,MIDS Level 1 - Basic,https://ltc.tdwg.org/information-elements/index.html#ScientificNameID
mids:,ScientificNameID,Scientific Name ID,An identifier for the nomenclatural (not taxonomic) details of a scientific name.,"It is strongly recommended to use identifiers from the recognised nomenclators for the appropriate taxonomic group (e.g. the International Plant Names Index (IPNI), MycoBank, AlgaeBase, Mindat, etc).",,urn:lsid:ipni.org:names:184409-1; mindat:1:1:1375:4 ; https://mindat.org/4ca61d6f-4208-8fb2-3b0eecbcs8f0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,True,,,,,,mids:ScientificNameID,,,To uniquly identify the taxon name of a specimen in a machine readable format.,original,,Biology and Geology,mids3,MIDS Level 3 - Extended,https://ltc.tdwg.org/information-elements/index.html#ScientificNameID
mids:,GeographicalLocalityID,Geographical Locality ID,An identifier for the geographical locality where the specimen was collected.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,True,,,,,,mids:GeographicalLocalityID,,,"To provide an identifier for the geographical locality which ensures that there is no ambiguity, particular for geographical locality names which are not unique. Also has the potential to create a link between the geographical locality name and a shape file.",original,,All,mids3,MIDS Level 3 - Extended,https://ltc.tdwg.org/information-elements/index.html#GeographicalLocalityID
mids:,IdentifiedByID,Identified By ID,"A list (concatenated and separated) of the identifier(s) for the person, people, groups, or organizations responsible for assigning the scientific name to the subject.","It is strongly recommended to use resolvable ORCiD identifiers for people, or Wikidata identifiers for people or expeditions.",,https://www.wikidata.org/wiki/Q94522; https://orcid.org/0000-0001-7698-3945 | https://www.wikidata.org/wiki/Q276405,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,True,,,,,,mids:IdentifiedByID,,,To provide provenance for the identification of the specimen.,original,,All,mids3,MIDS Level 3 - Extended,https://ltc.tdwg.org/information-elements/index.html#IdentifiedByID
mids:,AssociatedMediaID,Associated Media ID,A list (concatenated and separated) of identifiers of media associated with the Specimen.,It is strongly recommended to follow Audiovisual Core standards; identifier(s) for IIIF manifest and/or image,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,True,,,,,,mids:AssociatedMediaID,,,To allow a user (human or machine) to locate mediafiles of the specimen,original,,All,mids3,MIDS Level 3 - Extended,https://ltc.tdwg.org/information-elements/index.html#AssociatedMediaID
mids:,Mass,Mass,"The quantity of matter in a specimen, particularly for minerals, phases and meteorites",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,True,False,,,,,,mids:Mass,,,,original,,Geology,,,https://ltc.tdwg.org/information-elements/index.html#Mass
